MLS,St,Status_Date,P_Type,Address,Municipality,City,Area,CDOM,Price,Bedrooms,Bth,Square_Footage,Acres,Age,Listing_Office_ID,Total_Baths,Full_Baths,Half_Baths,Standardization,RetAddr1,RetAddr2,RetCity,RetState,RetZipCode,RetHyphen,RetPlus4
12061060,S,12/7/2012 0:00,RESI,11298 Briarstone Dr,Unincorporated,Unincorporated,316,21,289000,4,3 (2 1),1966,0.31,32,LZRE01,3,2,1,-,11298 BRIARSTONE DR,,UNINCORPORATD,MO,,-,
12043497,S,10/16/2012 0:00,RESI,16151 Port Of Nantucket,Wildwood,Grover,346,87,203500,3,2 (2 0),1578,0.23,26,STLV01,2,2,0,-,16151 PORT OF NANTUCKET,,GROVER,MO,,-,
12048028,S,10/25/2012 0:00,RESI,563 Red Rock  Dr,Wildwood,St Louis,347,54,232500,4,4 (3 1),2930,0.4,31,RLXG01,4,3,1,-,563 RED ROCK DR,,ST LOUIS,MO,63011,-,4803
12023753,S,12/12/2012 0:00,RESI,1539 Shalimar Ridge Lane,Unincorporated,Unincorporated,349,206,485000,4,4 (3 1),3707,3.01,14,CBG 49,4,3,1,-,1539 SHALIMAR RIDGE LN,,UNINCORPORATD,MO,,-,
12053769,S,3/12/2013 0:00,RESI,1973 Park,Jennings,St Louis,16,175,7000,2,1 (1 0),1065,0.18,70,HRSR01,1,1,0,-,1973 PARK,,ST LOUIS,MO,,-,
12062841,S,1/28/2013 0:00,RESI,10524 Edgefield Dr,Unincorporated,Unincorporated,31,104,57000,3,3 (2 1),1073,0.15,62,KWRW01,3,2,1,-,10524 EDGEFIELD DR,,UNINCORPORATD,MO,,-,
11019442,S,2/8/2013 0:00,RESI,1121 Walker Ave,Unincorporated,Unincorporated,46,595,30500,3,1 (1 0),1074,0.11,61,CBPR01,1,1,0,-,1121 WALKER AVE,,UNINCORPORATD,MO,,-,
13007475,S,3/28/2013 0:00,RESI,1 Bittersweet Lane,Unincorporated,Unincorporated,46,43,142500,4,4 (3 1),2684,2.54,66,STR 01,4,3,1,-,1 BITTERSWEET LN,,UNINCORPORATD,MO,,-,
12068979,S,1/25/2013 0:00,RESI,6791 Blossom View Dr,Unincorporated,St Louis,47,19,55500,4,3 (2 1),1878,0.37,51,RERR01,3,2,1,-,6791 BLOSSOM VIEW DR,,ST LOUIS,MO,63033,-,5133
12019392,S,3/11/2013 0:00,RESI,19 Behlmann Estates Ct,Unincorporated,Unincorporated,47,283,257325,4,4 (3 1),4036,0.3,14,SLEC03,4,3,1,-,19 BEHLMANN ESTATES CT,,UNINCORPORATD,MO,63034,-,2852
12040029,S,3/8/2013 0:00,RESI,109 Riverwood Park,Hazelwood,Hazelwood,48,335,188000,4,3 (2 1),2700,0.23,16,KWRW01,3,2,1,-,109 RIVERWOOD PARK,,HAZELWOOD,MO,,-,
12056722,S,3/1/2013 0:00,RESI,2643 Midland Ridge  Dr,Unincorporated,Unincorporated,76,147,84500,2,1 (1 0),958,0.17,50,LZRE01,1,1,0,-,2643 MIDLAND RIDGE DR,,UNINCORPORATD,MO,63114,-,1232
12069689,S,2/26/2013 0:00,RESI,60 Decorah Dr,Unincorporated,Unincorporated,76,29,180000,3,2 (2 0),1539,0.45,62,RMXR04,2,2,0,-,60 DECORAH DR,,UNINCORPORATD,MO,,-,
12046723,S,1/15/2013 0:00,RESI,2162 Shimoor Lane,Unincorporated,Maryland Heights,166,101,164000,4,3 (2 1),2122,0.31,44,RLXG01,3,2,1,-,2162 SHIMOOR LN,,MARYLND HGHTS,MO,,-,
12061279,S,1/18/2013 0:00,RESI,806 Walfield Ct,Chesterfield,Chesterfield,167,35,280000,4,4 (3 1),2196,0.23,29,CBG 15,4,3,1,-,806 WALFIELD CT,,CHESTERFIELD,MO,,-,
12052654,S,3/15/2013 0:00,RESI,1570 Foxleigh,Town And Country,Town and Country,168,182,315000,5,3 (2 1),2497,0.69,47,RBCK01,3,2,1,-,1570 FOXLEIGH,,TWN AND CNTRY,MO,,-,
12063768,S,1/31/2013 0:00,RESI,7 Kirken Knoll Dr,Town And Country,Town and Country,168,80,360000,4,3 (2 1),3030,1.12,54,DIEL01,3,2,1,-,7 KIRKEN KNOLL DR,,TWN AND CNTRY,MO,63131,-,2310
12029772,S,2/28/2013 0:00,RESI,109 Ballas  Ct,Town And Country,Town and Country,168,273,370000,3,3 (3 0),2133,1.2,61,MCFE01,3,3,0,-,109 BALLAS CT,,TWN AND CNTRY,MO,63131,-,3037
12059997,S,1/30/2013 0:00,RESI,1922 Karlin Dr,Town And Country,Town and Country,168,47,460000,4,3 (3 0),3234,1.03,57,CBG 11,3,3,0,-,1922 KARLIN DR,,TWN AND CNTRY,MO,63131,-,1701
13010861,S,3/29/2013 0:00,RESI,3075 Thornbury Dr,Town And Country,Town and Country,168,0,500000,6,5 (4 1),3480,1.25,49,CBG 04,5,4,1,-,3075 THORNBURY DR,,TWN AND CNTRY,MO,,-,
12018496,S,3/27/2013 0:00,RESI,821 Mason Wood Dr,Town And Country,Town and Country,168,246,583800,5,3 (3 0),2868,1.01,46,SLEC03,3,3,0,-,821 MASON WOOD DR,,TWN AND CNTRY,MO,,-,
12067511,S,3/1/2013 0:00,RESI,2121 Coppersmith Ct,Town And Country,Town and Country,168,16,820000,5,5 (4 1),3655,1.24,20,PRUA05,5,4,1,-,2121 COPPERSMITH CT,,TWN AND CNTRY,MO,63131,-,3112
12050518,S,3/29/2013 0:00,RESI,1150 Highland Pointe Dr,Town And Country,Town and Country,168,105,1250000,5,7 (4 3),5176,1,18,CBG 11,7,4,3,-,1150 HIGHLAND POINTE DR,,TWN AND CNTRY,MO,63131,-,1408
13001332,S,1/30/2013 0:00,RESI,318 Twistedoak Ct,Unincorporated,Unincorporated,169,0,155000,3,2 (2 0),1358,0.19,41,CBG 03,2,2,0,-,318 TWISTEDOAK CT,,UNINCORPORATD,MO,63021,-,7420
12014795,S,1/7/2013 0:00,RESI,10436 Bimini Dr,Unincorporated,Concord Village,316,188,114500,3,1 (1 0),960,0.2,60,PRAD01,1,1,0,-,10436 BIMINI DR,,CONCORD VLLGE,MO,,-,
13002739,S,3/7/2013 0:00,RESI,10934 Shea Dr,Unincorporated,Unincorporated,316,35,121500,3,2 (2 0),1215,0.18,63,CBPR01,2,2,0,-,10934 SHEA DR,,UNINCORPORATD,MO,,-,
12054315,S,1/22/2013 0:00,RESI,10501 Twilight Drive,Unincorporated,Unincorporated,316,82,150000,3,2 (2 0),1788,0.5,39,SORC01,2,2,0,-,10501 TWILIGHT DR,,UNINCORPORATD,MO,,-,
11040302,S,1/14/2013 0:00,RESI,21 Cliff Dr,Unincorporated,Unincorporated,331,372,111000,3,3 (2 1),1366,0.45,69,CBG 15,3,2,1,-,21 CLIFF DR,,UNINCORPORATD,MO,,-,
13005799,S,3/15/2013 0:00,RESI,3612 Falcon Ridge Ct,Unincorporated,Unincorporated,331,37,225000,3,2 (2 0),2282,0.2,39,MORE01,2,2,0,-,3612 FALCON RIDGE CT,,UNINCORPORATD,MO,,-,
13000944,S,2/28/2013 0:00,RESI,1607 Spring Chase Dr,Unincorporated,St Louis,349,35,304000,4,3 (3 0),2150,0.19,24,SLEC04,3,3,0,-,1607 SPRING CHASE DR,,ST LOUIS,MO,63026,-,6964
12002214,S,1/31/2013 0:00,RESI,1408 Heritage Valley,Unincorporated,Unincorporated,349,352,345000,5,3 (3 0),3712,0.26,10,CBG 49,3,3,0,-,1408 HERITAGE VLY,,UNINCORPORATD,MO,,-,
12059448,S,4/30/2013 0:00,RESI,1745 Redman Rd,Unincorporated,Unincorporated,46,443,45000,4,1 (1 0),1045,0.42,63,YHMR01,1,1,0,-,1745 REDMAN RD,,UNINCORPORATD,MO,,-,
13016692,S,5/21/2013 0:00,RESI,1425 Bayonne Dr,Unincorporated,Unincorporated,46,42,93000,4,3 (2 1),1750,0.37,67,SLEC03,3,2,1,-,1425 BAYONNE DR,,UNINCORPORATD,MO,,-,
13017883,S,6/3/2013 0:00,RESI,11384 Lanett Ct.,Unincorporated,Unincorporated,46,6,99900,4,3 (3 0),1333,0.25,50,HRLG01,3,3,0,-,11384 LANETT CT,,UNINCORPORATD,MO,,-,
13007345,S,6/26/2013 0:00,RESI,13065 07 Old Halls Ferry,Black Jack,Florissant,47,133,52500,3,2 (2 0),2176,0.5,82,STJM01,2,2,0,-,13065 07 OLD HALLS FRY,,FLORISSANT,MO,,-,
13000329,S,4/12/2013 0:00,RESI,14504 Arpent Lane,Unincorporated,Unincorporated,47,113,90000,3,2 (2 0),1525,0.48,40,EXRE01,2,2,0,-,14504 ARPENT LN,,UNINCORPORATD,MO,63034,-,2206
12042759,S,5/16/2013 0:00,RESI,6357 Coventry Dr,Unincorporated,Unincorporated,47,302,94900,3,2 (2 0),1186,0.25,1979,MORE01,2,2,0,-,6357 COVENTRY DR,,UNINCORPORATD,MO,63033,-,7914
13009701,S,4/26/2013 0:00,RESI,4314 Robbins Mill Rd,Unincorporated,Unincorporated,47,39,230000,4,4 (3 1),2732,1,57,SLEC13,4,3,1,-,4314 ROBBINS MILL RD,,UNINCORPORATD,MO,63034,-,2835
13021599,S,6/26/2013 0:00,RESI,118 Saint Stanislaus Ct,Hazelwood,Hazelwood,48,24,183000,3,3 (2 1),1949,0.23,34,SLEC13,3,2,1,-,118 SAINT STANISLAUS CT,,HAZELWOOD,MO,63031,-,6523
13018570,S,6/17/2013 0:00,RESI,23 Saint Stanislaus Ct,Hazelwood,Hazelwood,48,15,197000,3,3 (2 1),2066,0.27,33,CBG 12,3,2,1,-,23 SAINT STANISLAUS CT,,HAZELWOOD,MO,63031,-,6540
11048822,S,6/25/2013 0:00,RESI,75 CHARBONIER BLUFFS Dr,Hazelwood,Hazelwood,48,355,265000,4,3 (2 1),3056,0.23,0,MCKH01,3,2,1,-,75 CHARBONIER BLUFFS DR,,HAZELWOOD,MO,63031,-,5652
13028569,S,5/22/2013 0:00,RESI,2500 Woodsage,Unincorporated,Unincorporated,64,0,120000,2,2 (2 0),1433,0.18,52,RLTY24,2,2,0,-,2500 WOODSAGE,,UNINCORPORATD,MO,,-,
13011199,S,5/23/2013 0:00,RESI,2 Barbary  Lane,Unincorporated,Unincorporated,76,60,155000,3,2 (2 0),1482,0.29,57,CBPR01,2,2,0,-,2 BARBARY LN,,UNINCORPORATD,MO,,-,
13022050,S,6/27/2013 0:00,RESI,1141 Dunston Dr,Unincorporated,Unincorporated,76,23,310000,4,3 (2 1),2480,0.21,26,BOBR01,3,2,1,-,1141 DUNSTON DR,,UNINCORPORATD,MO,,-,
13010725,S,5/3/2013 0:00,RESI,8975 Saint Charles  Lane,St. John,St Louis,91,15,6500,1,1 (1 0),604,0.1,88,CBG 06,1,1,0,-,8975 SAINT CHARLES LN,,ST LOUIS,MO,,-,
11017846,S,5/28/2013 0:00,RESI,3102 Farview Manor,St. Ann,St Ann,91,862,66900,3,2 (2 0),1736,0.26,72,CBG 32,2,2,0,-,3102 FARVIEW MNR,,ST ANN,MO,,-,
12067627,S,5/30/2013 0:00,RESI,1514 Sugar Grove  Ct,Unincorporated,Unincorporated,166,90,180000,4,4 (3 1),1908,0.47,50,MORE01,4,3,1,-,1514 SUGAR GROVE CT,,UNINCORPORATD,MO,,-,
13006294,S,4/5/2013 0:00,RESI,1801 Pickfair,Unincorporated,Unincorporated,166,1,204500,4,2 (2 0),1862,0.32,50,RMXS01,2,2,0,-,1801 PICKFAIR,,UNINCORPORATD,MO,,-,
13005332,S,6/3/2013 0:00,RESI,1412 Timberwood Lane,Unincorporated,Unincorporated,166,55,216500,6,4 (3 1),2337,0.38,47,CBG 03,4,3,1,-,1412 TIMBERWOOD LN,,UNINCORPORATD,MO,,-,
13012867,S,4/19/2013 0:00,RESI,1902 Pickfair Dr,Unincorporated,Unincorporated,167,41,190600,4,2 (2 0),1888,0.27,51,KWRC01,2,2,0,-,1902 PICKFAIR DR,,UNINCORPORATD,MO,,-,
13015222,S,6/13/2013 0:00,RESI,13105 Fourposter Ct,Unincorporated,Unincorporated,167,13,260000,3,3 (2 1),2268,0.46,52,EDGE01,3,2,1,-,13105 FOURPOSTER CT,,UNINCORPORATD,MO,,-,
13006910,S,4/12/2013 0:00,RESI,14048 Calcutta Dr,Chesterfield,St Louis,167,49,415000,4,3 (2 1),2546,0.49,50,LSRL01,3,2,1,-,14048 CALCUTTA DR,,ST LOUIS,MO,63017,-,3304
13010264,S,5/10/2013 0:00,RESI,13571 Ladue Farm Rd,Chesterfield,Chesterfield,167,70,523500,4,4 (3 1),3596,0.93,37,CBPR01,4,3,1,-,13571 LADUE FARM RD,,CHESTERFIELD,MO,,-,
13009961,S,5/7/2013 0:00,RESI,225 Bryn Wyck Place,Town And Country,Town and Country,167,191,670000,4,5 (5 0),3792,0.9,47,SLEC04,5,5,0,-,225 BRYN WYCK PL,,TWN AND CNTRY,MO,,-,
13005398,S,5/7/2013 0:00,RESI,13318 Wood Stone Ct,Town And Country,Town and Country,167,62,745000,4,5 (4 1),3942,0.86,33,MCFE01,5,4,1,-,13318 WOOD STONE CT,,TWN AND CNTRY,MO,,-,
13020877,S,6/28/2013 0:00,RESI,312 Wyndmoor Terrace,Town And Country,Town and Country,167,207,1500000,5,9 (5 4),7761,0.92,25,KWRC01,9,5,4,-,312 WYNDMOOR TER,,TWN AND CNTRY,MO,,-,
12020696,S,5/31/2013 0:00,RESI,13428 Conway Rd,Town And Country,Town and Country,167,356,3000000,9,8 (5 3),6414,18.41,56,DIEL01,8,5,3,-,13428 CONWAY RD,,TWN AND CNTRY,MO,,-,
13024143,S,6/21/2013 0:00,RESI,815 Bergquist Dr,Unincorporated,Unincorporated,168,39,295000,5,4 (3 1),2646,0.36,45,RXSB01,4,3,1,-,815 BERGQUIST DR,,UNINCORPORATD,MO,63011,-,4215
13012812,S,5/29/2013 0:00,RESI,7 Claycrest,Town And Country,Town and Country,168,23,333500,3,2 (2 0),1857,1.21,66,NICL01,2,2,0,-,7 CLAYCREST,,TWN AND CNTRY,MO,,-,
12044642,S,4/12/2013 0:00,RESI,5 Country Aire Dr,Town And Country,Town and Country,168,228,462500,4,4 (3 1),3503,1.13,61,DIEL01,4,3,1,-,5 COUNTRY AIRE DR,,TWN AND CNTRY,MO,63131,-,2318
13019702,S,5/30/2013 0:00,RESI,13459 Kings Glen Dr,Town And Country,Town and Country,168,45,468000,4,3 (3 0),3082,0.91,44,RDKY02,3,3,0,-,13459 KINGS GLEN DR,,TWN AND CNTRY,MO,,-,
13025636,S,5/13/2013 0:00,RESI,1518 Mason Valley,Town And Country,Town and Country,168,0,485000,4,4 (2 2),2948,0.72,43,CBG 24,4,2,2,-,1518 MASON VLY,,TWN AND CNTRY,MO,,-,
13013375,S,4/18/2013 0:00,RESI,7 Williamsburg Estates Dr,Town And Country,Town and Country,168,35,622200,6,5 (4 1),5065,1.45,43,CBPR01,5,4,1,-,7 WILLIAMSBURG ESTATES DR,,TWN AND CNTRY,MO,63131,-,1019
13008031,S,6/28/2013 0:00,RESI,2104 North Ballas Rd,Town And Country,Town and Country,168,122,695000,6,6 (5 1),4852,0.99,60,CBG 11,6,5,1,-,2104 N BALLAS RD,,TWN AND CNTRY,MO,63131,-,3022
12059074,S,6/21/2013 0:00,RESI,936 Town and Country Estates Ct,Town And Country,Town and Country,168,422,755000,4,4 (3 1),4004,1.01,31,KWRC01,4,3,1,-,936 TOWN AND COUNTRY ESTATES CT,,TWN AND CNTRY,MO,,-,
12031447,S,5/15/2013 0:00,RESI,900 Town And Country Estates Drive,Town And Country,Town and Country,168,300,847500,5,5 (4 1),4000,1,32,MCAR01,5,4,1,-,900 TOWN AND COUNTRY ESTATES DR,,TWN AND CNTRY,MO,,-,
13025883,S,6/5/2013 0:00,RESI,832 Masonridge Rd,Town And Country,Town and Country,168,3,854000,4,5 (4 1),3485,1.07,32,CBG 11,5,4,1,-,832 MASONRIDGE RD,,TWN AND CNTRY,MO,,-,
13019114,S,6/12/2013 0:00,RESI,851 Revere Dr,Town And Country,Town and Country,168,23,865000,5,6 (4 2),5387,1.17,19,DIEL01,6,4,2,-,851 REVERE DR,,TWN AND CNTRY,MO,,-,
13004153,S,5/24/2013 0:00,RESI,2326 Clifton Forge,Town And Country,Town and Country,168,101,877000,5,5 (4 1),4168,1.02,35,MCAR03,5,4,1,-,2326 CLIFTON FRG,,TWN AND CNTRY,MO,,-,
12058158,S,5/9/2013 0:00,RESI,12930 Thornhill Dr,Town And Country,Town and Country,168,347,1350000,5,6 (4 2),6414,1.01,11,CBG 11,6,4,2,-,12930 THORNHILL DR,,TWN AND CNTRY,MO,63131,-,1723
12049951,S,4/16/2013 0:00,RESI,2 Vandiver Lane,Town And Country,Town and Country,168,134,2100000,4,7 (5 2),5987,1.31,13,EXSL01,7,5,2,-,2 VANDIVER LN,,TWN AND CNTRY,MO,63131,-,1107
13025775,S,6/6/2013 0:00,RESI,535 Oaktree Crossing Ct,Unincorporated,Unincorporated,169,14,218000,3,2 (2 0),1526,0.13,30,CBG 11,2,2,0,-,535 OAKTREE CROSSING CT,,UNINCORPORATD,MO,63021,-,7475
13005533,S,4/30/2013 0:00,RESI,866 Ivy Trace,Unincorporated,Unincorporated,169,88,244000,4,3 (3 0),1732,0.18,30,RDKY02,3,3,0,-,866 IVY TRCE,,UNINCORPORATD,MO,63021,-,8421
13016872,S,5/31/2013 0:00,RESI,2800 Barrett Oaks  Lane,Des Peres,Des Peres,169,6,405000,4,3 (2 1),2770,0.23,25,MADA01,3,2,1,-,2800 BARRETT OAKS LN,,DES PERES,MO,63021,-,3812
13007472,S,5/24/2013 0:00,RESI,9421 Eucalyptus Dr,Unincorporated,Unincorporated,271,86,134900,3,2 (2 0),1168,0.17,63,SLHB01,2,2,0,-,9421 EUCALYPTUS DR,,UNINCORPORATD,MO,,-,
13013129,S,4/26/2013 0:00,RESI,9814 Ridgely Lane,Unincorporated,Unincorporated,271,42,140000,3,3 (3 0),1448,0.22,58,RDKY02,3,3,0,-,9814 RIDGELY LN,,UNINCORPORATD,MO,,-,
13018616,S,5/22/2013 0:00,RESI,8008 Grandvista Ave,Unincorporated,Unincorporated,271,8,155000,2,2 (1 1),1253,0.17,76,CBG 31,2,1,1,-,8008 GRANDVISTA AVE,,UNINCORPORATD,MO,63123,-,2606
13027296,S,6/28/2013 0:00,RESI,8923 Wilma  Dr,Unincorporated,Unincorporated,286,47,127000,3,2 (2 0),1596,0.46,68,EXPE01,2,2,0,-,8923 WILMA DR,,UNINCORPORATD,MO,,-,
13014062,S,6/27/2013 0:00,RESI,9065 Lemona Dr,Unincorporated,Unincorporated,286,86,135000,3,2 (2 0),1102,0.23,45,KWSW01,2,2,0,-,9065 LEMONA DR,,UNINCORPORATD,MO,,-,
12062572,S,5/2/2013 0:00,RESI,4422 Fatima Dr,Unincorporated,Baylis,286,102,150000,3,3 (3 0),1851,0.15,49,RMXR02,3,3,0,-,4422 FATIMA DR,,BAYLIS,MO,63123,-,6706
13016595,S,6/3/2013 0:00,RESI,8432 Weber Trail Dr,Unincorporated,Unincorporated,286,60,190000,3,3 (3 0),1540,0.14,21,RDKY02,3,3,0,-,8432 WEBER TRAIL DR,,UNINCORPORATD,MO,63123,-,4648
13012240,S,4/30/2013 0:00,RESI,10835 Faraday Dr,Unincorporated,Unincorporated,316,30,149900,3,2 (2 0),960,0.17,62,EQTY01,2,2,0,-,10835 FARADAY DR,,UNINCORPORATD,MO,63123,-,5901
13014538,S,5/20/2013 0:00,RESI,10511 Roscommon Dr,Unincorporated,Unincorporated,316,11,164500,3,2 (2 0),1248,0.18,51,WCLK01,2,2,0,-,10511 ROSCOMMON DR,,UNINCORPORATD,MO,,-,
13003767,S,4/26/2013 0:00,RESI,4327 Southridge Meadows Ct,Unincorporated,Unincorporated,316,3,205000,3,3 (2 1),1596,0.16,23,CBG 07,3,2,1,-,4327 SOUTHRIDGE MEADOWS CT,,UNINCORPORATD,MO,,-,
12065604,S,4/18/2013 0:00,RESI,11288 Briarstone,Unincorporated,Unincorporated,316,92,215000,4,2 (2 0),2294,0.25,51,PRAD01,2,2,0,-,11288 BRIARSTONE,,UNINCORPORATD,MO,,-,
13003950,S,5/30/2013 0:00,RESI,4310 Barth Dr,Unincorporated,Unincorporated,331,42,128500,3,2 (1 1),1430,0.18,56,RMXR04,2,1,1,-,4310 BARTH DR,,UNINCORPORATD,MO,,-,
13011690,S,5/10/2013 0:00,RESI,10210 Coral Trail  Ct,Unincorporated,Unincorporated,331,60,243000,4,3 (2 1),2236,0.19,25,RDKY02,3,2,1,-,10210 CORAL TRAIL CT,,UNINCORPORATD,MO,63123,-,6278
13017416,S,6/4/2013 0:00,RESI,5308 Timberline Place Dr,Unincorporated,Unincorporated,331,54,250000,3,2 (2 0),1687,0.23,14,MADA01,2,2,0,-,5308 TIMBERLINE PLACE DR,,UNINCORPORATD,MO,,-,
13020059,S,5/24/2013 0:00,RESI,2457 Crestline Dr,Unincorporated,Unincorporated,332,39,122000,3,2 (2 0),1658,0.23,45,RMXR04,2,2,0,-,2457 CRESTLINE DR,,UNINCORPORATD,MO,,-,
13014919,S,5/6/2013 0:00,RESI,905 Kiefer Trails  Dr,Unincorporated,Unincorporated,348,1,329900,4,5 (4 1),2149,0.26,21,KWRC01,5,4,1,-,905 KIEFER TRAILS DR,,UNINCORPORATD,MO,63021,-,6078
13012627,S,5/20/2013 0:00,RESI,15952 Wetherburn Rd,Ballwin,Ballwin,348,7,351000,4,5 (3 2),2830,0.45,35,CBG 03,5,3,2,-,15952 WETHERBURN RD,,BALLWIN,MO,63017,-,7341
13016095,S,5/24/2013 0:00,RESI,1212 Birch Meadow Ct,Unincorporated,St Louis,349,38,452840,4,3 (2 1),4248,0.24,5,RMXG01,3,2,1,-,1212 BIRCH MEADOW CT,,ST LOUIS,MO,,-,
13013835,S,7/10/2013 0:00,RESI,1221 Scott Ave,Unincorporated,Hazelwood,46,21,27253,3,1 (1 0),864,0.11,60,GLIR01,1,1,0,-,1221 SCOTT AVE,,HAZELWOOD,MO,,-,
13017933,S,8/2/2013 0:00,RESI,903 905 Coal Bank Rd,Unincorporated,Unincorporated,46,107,44250,4,3 (2 1),1610,3,89,BTHC01,3,2,1,-,903 905 COAL BANK RD,,UNINCORPORATD,MO,,-,
13030556,S,7/8/2013 0:00,RESI,11409 Ortega Dr,Unincorporated,Unincorporated,46,24,47000,3,2 (1 1),980,0.17,57,OTTH01,2,1,1,-,11409 ORTEGA DR,,UNINCORPORATD,MO,,-,
13032870,S,7/18/2013 0:00,RESI,12655 Countrybrook Dr,Unincorporated,Unincorporated,46,7,58000,3,2 (2 0),2007,0.23,44,SLEC13,2,2,0,-,12655 COUNTRYBROOK DR,,UNINCORPORATD,MO,,-,
12062491,S,7/30/2013 0:00,RESI,12380 Bellefontaine,Unincorporated,Unincorporated,46,168,90000,2,1 (1 0),1441,3.61,118,CBPR01,1,1,0,-,12380 BELLEFONTAINE,,UNINCORPORATD,MO,,-,
12035902,S,8/28/2013 0:00,RESI,2 Elmcrest Acres,Unincorporated,St Louis,46,254,129000,4,3 (3 0),3089,1.45,77,CBG 06,3,3,0,-,2 ELMCREST ACRES,,ST LOUIS,MO,,-,
13020435,S,7/29/2013 0:00,RESI,6420 Silver Fox Dr,Unincorporated,Unincorporated,47,104,76000,3,2 (2 0),1053,0.23,47,CBG 31,2,2,0,-,6420 SILVER FOX DR,,UNINCORPORATD,MO,63034,-,2943
12042760,S,7/15/2013 0:00,RESI,3643 Rudelle Dr,Unincorporated,Unincorporated,47,316,76000,3,2 (1 1),1102,0.15,1978,MORE01,2,1,1,-,3643 RUDELLE DR,,UNINCORPORATD,MO,63031,-,1142
13015507,S,7/11/2013 0:00,RESI,3741 Secretariat Dr,Unincorporated,Unincorporated,47,98,180000,4,3 (2 1),2166,0.21,28,SHIL,3,2,1,-,3741 SECRETARIAT DR,,UNINCORPORATD,MO,63034,-,3381
13016134,S,8/9/2013 0:00,RESI,1701 Saddle Ridge Dr,Unincorporated,Unincorporated,48,134,68900,3,2 (2 0),1189,0.18,46,CBG 31,2,2,0,-,1701 SADDLE RIDGE DR,,UNINCORPORATD,MO,,-,
13024329,S,7/18/2013 0:00,RESI,58 Meditation Way,Hazelwood,Hazelwood,48,31,210000,3,3 (2 1),2460,0.24,33,CBG 12,3,2,1,-,58 MEDITATION WAY,,HAZELWOOD,MO,,-,
13036665,S,9/6/2013 0:00,RESI,1325 Lisa Dr,Unincorporated,St Louis,64,22,82000,3,2 (2 0),1320,0.33,54,ALIR01,2,2,0,-,1325 LISA DR,,ST LOUIS,MO,63033,-,3011
13024684,S,9/26/2013 0:00,RESI,2075 Avon Dr,Unincorporated,Unincorporated,64,143,100000,4,2 (2 0),1604,0.23,50,CBG 31,2,2,0,-,2075 AVON DR,,UNINCORPORATD,MO,63033,-,1249
13053060,S,8/30/2013 0:00,RESI,47 Deerfield,Unincorporated,Unincorporated,76,0,72000,4,3 (3 0),1260,0.25,60,MCAR01,3,3,0,-,47 DEERFIELD,,UNINCORPORATD,MO,,-,
13020866,S,7/2/2013 0:00,RESI,1588 Meadowside,Unincorporated,Unincorporated,76,61,160000,3,2 (2 0),1284,0.13,36,EQTY01,2,2,0,-,1588 MEADOWSIDE,,UNINCORPORATD,MO,,-,
13031109,S,8/6/2013 0:00,RESI,105 Bal Harbour Dr,Unincorporated,Unincorporated,166,34,134000,3,3 (3 0),1389,0.31,58,CHRE01,3,3,0,-,105 BAL HARBOUR DR,,UNINCORPORATD,MO,,-,
13039656,S,8/30/2013 0:00,RESI,11710 Summerhaven Dr,Unincorporated,Unincorporated,166,13,190000,2,3 (2 1),1680,0.21,49,SLEC04,3,2,1,-,11710 SUMMERHAVEN DR,,UNINCORPORATD,MO,,-,
13023308,S,7/25/2013 0:00,RESI,108 Pebble Acres Dr,Town And Country,Town and Country,167,64,367500,3,4 (3 1),3548,0.69,54,CBG 11,4,3,1,-,108 PEBBLE ACRES DR,,TWN AND CNTRY,MO,,-,
13036135,S,9/10/2013 0:00,RESI,351 Doulton Place,Town And Country,Town and Country,167,74,407000,4,3 (2 1),2574,0.97,45,CBG 11,3,2,1,-,351 DOULTON PL,,TWN AND CNTRY,MO,,-,
13001574,S,8/8/2013 0:00,RESI,8 Ridgecreek Dr,Town And Country,Unincorporated,167,167,435000,4,4 (3 1),3273,1.05,56,CBG 11,4,3,1,-,8 RIDGECREEK DR,,UNINCORPORATD,MO,,-,
13005885,S,9/20/2013 0:00,RESI,328 Doulton Place,Town And Country,Town and Country,167,205,680000,5,5 (3 2),3925,0.95,51,MCAR03,5,3,2,-,328 DOULTON PL,,TWN AND CNTRY,MO,,-,
13039483,S,8/26/2013 0:00,RESI,1203 Fieldhurst,Unincorporated,St Louis,168,36,210000,3,3 (3 0),1512,0.25,54,RDKY02,3,3,0,-,1203 FIELDHURST,,ST LOUIS,MO,,-,
13034395,S,7/30/2013 0:00,RESI,1037 Parkwatch Dr,Unincorporated,Unincorporated,168,14,265000,3,3 (2 1),1960,0.28,45,SLEC04,3,2,1,-,1037 PARKWATCH DR,,UNINCORPORATD,MO,63011,-,3641
13020011,S,9/10/2013 0:00,RESI,12319 Harflo Lane,Town And Country,Town and Country,168,76,265000,4,2 (2 0),2750,1.55,65,BLAS,2,2,0,-,12319 HARFLO LN,,TWN AND CNTRY,MO,63131,-,3114
13027045,S,7/26/2013 0:00,RESI,1034 Parkwatch Dr,Unincorporated,Unincorporated,168,11,285000,4,3 (2 1),1960,0.51,46,SLEC04,3,2,1,-,1034 PARKWATCH DR,,UNINCORPORATD,MO,,-,
13018350,S,8/5/2013 0:00,RESI,1 Clayton Estates,Town And Country,Town and Country,168,103,331250,3,2 (2 0),2043,1.1,59,MCAR01,2,2,0,-,1 CLAYTON ESTS,,TWN AND CNTRY,MO,,-,
